"Материал","Порядок","Трек","Модуль","Тип","Обязательно","Статус","Путь в архиве","Мои заметки"
"Часть 4. TypeScript и безопасные модели данных","46","Обязательный путь","Часть 4","Оглавление части","Да","Не начато","course/part-04-typescript/README.md",""
"1. Зачем TypeScript, если уже есть JavaScript","47","Обязательный путь","Часть 4","Глава","Да","Не начато","course/part-04-typescript/01-why-typescript.md",""
"2. Установка, компиляция и `tsconfig.json`","48","Обязательный путь","Часть 4","Глава","Да","Не начато","course/part-04-typescript/02-install-compile-tsconfig.md",""
"3. Примитивы, массивы, tuples и inference","49","Обязательный путь","Часть 4","Глава","Да","Не начато","course/part-04-typescript/03-primitives-arrays-tuples.md",""
"4. Объектные модели: `type` и `interface`","50","Обязательный путь","Часть 4","Глава","Да","Не начато","course/part-04-typescript/04-object-models-type-interface.md",""
"5. Unions, optional fields и narrowing","51","Обязательный путь","Часть 4","Глава","Да","Не начато","course/part-04-typescript/05-unions-optionals-narrowing.md",""
"6. `unknown`, `any` и runtime validation","52","Обязательный путь","Часть 4","Глава","Да","Не начато","course/part-04-typescript/06-unknown-any-runtime-validation.md",""
"7. Типизация функций и generics","53","Обязательный путь","Часть 4","Глава","Да","Не начато","course/part-04-typescript/07-functions-generics.md",""
"8. Readonly и utility types","54","Обязательный путь","Часть 4","Глава","Да","Не начато","course/part-04-typescript/08-readonly-utility-types.md",""
"9. Ошибки, `never` и Result-модель","55","Обязательный путь","Часть 4","Глава","Да","Не начато","course/part-04-typescript/09-errors-never-result.md",""
"10. Типизированный асинхронный JSON pipeline","56","Обязательный путь","Часть 4","Глава","Да","Не начато","course/part-04-typescript/10-typed-async-pipeline.md",""
"11. Лабораторная: миграция анализатора на TypeScript","57","Обязательный путь","Часть 4","Глава","Да","Не начато","course/part-04-typescript/11-migration-lab.md",""
"12. Разбор эталонного TypeScript-проекта","58","Обязательный путь","Часть 4","Глава","Да","Не начато","course/part-04-typescript/12-reference-project.md",""
"Dota History CLI на TypeScript","59","Обязательный путь","Часть 4","Оглавление части","Да","Не начато","course/part-04-typescript/examples/dota-history-cli-ts/README.md",""
"Часть 5. Git и дисциплина разработки","60","Обязательный путь","Часть 5","Оглавление части","Да","Не начато","course/part-05-git/README.md",""
"1. Git, repository и безопасная инициализация","61","Обязательный путь","Часть 5","Глава","Да","Не начато","course/part-05-git/01-git-repository-init.md",""
"2. Working tree, staging area, diff и первый commit","62","Обязательный путь","Часть 5","Глава","Да","Не начато","course/part-05-git/02-working-tree-staging-commit.md",""
"3. `.gitignore`, generated files и защита secrets","63","Обязательный путь","Часть 5","Глава","Да","Не начато","course/part-05-git/03-gitignore-and-secrets.md",""
"4. Атомарные commits и читаемая история","64","Обязательный путь","Часть 5","Глава","Да","Не начато","course/part-05-git/04-atomic-commits-and-history.md",""
"5. Branches и безопасное переключение","65","Обязательный путь","Часть 5","Глава","Да","Не начато","course/part-05-git/05-branches-and-switch.md",""
"6. Merge и разрешение conflicts","66","Обязательный путь","Часть 5","Глава","Да","Не начато","course/part-05-git/06-merge-and-conflicts.md",""
"7. Безопасное исправление ошибок и восстановление работы","67","Обязательный путь","Часть 5","Глава","Да","Не начато","course/part-05-git/07-safe-recovery.md",""
"8. Remote repositories, GitHub, fetch, pull и push","68","Обязательный путь","Часть 5","Глава","Да","Не начато","course/part-05-git/08-remotes-and-github.md",""
"9. Pull request и базовый code review","69","Обязательный путь","Часть 5","Глава","Да","Не начато","course/part-05-git/09-pull-requests-and-review.md",""
"10. Итоговая лабораторная: feature от branch до merge","70","Обязательный путь","Часть 5","Глава","Да","Не начато","course/part-05-git/10-final-git-lab.md",""
"Часть 6. HTTP, JSON и внешние API","71","Обязательный путь","Часть 6","Оглавление части","Да","Не начато","course/part-06-http-api/README.md",""
"Глава 1. Клиент, сервер и устройство URL","72","Обязательный путь","Часть 6","Глава","Да","Не начато","course/part-06-http-api/01-client-server-url.md",""
"Глава 2. HTTP-запрос и HTTP-ответ","73","Обязательный путь","Часть 6","Глава","Да","Не начато","course/part-06-http-api/02-request-response.md",""
"Глава 3. JSON, `unknown` и проверка границы","74","Обязательный путь","Часть 6","Глава","Да","Не начато","course/part-06-http-api/03-json-unknown-validation.md",""
"Глава 4. Первый запрос через Node.js `fetch`","75","Обязательный путь","Часть 6","Глава","Да","Не начато","course/part-06-http-api/04-node-fetch.md",""
"Глава 5. Timeout, классификация ошибок и retry","76","Обязательный путь","Часть 6","Глава","Да","Не начато","course/part-06-http-api/05-timeout-errors-retry.md",""
"Глава 6. Rate limit, pagination и cache","77","Обязательный путь","Часть 6","Глава","Да","Не начато","course/part-06-http-api/06-rate-limit-pagination-cache.md",""
"Глава 7. API key, переменные окружения и секреты","78","Обязательный путь","Часть 6","Глава","Да","Не начато","course/part-06-http-api/07-api-key-and-secrets.md",""
"Глава 8. Контракт OpenDota и исследование ответа","79","Обязательный путь","Часть 6","Глава","Да","Не начато","course/part-06-http-api/08-opendota-contract.md",""
"Глава 9. Provider client и raw archive","80","Обязательный путь","Часть 6","Глава","Да","Не начато","course/part-06-http-api/09-provider-client-and-raw-archive.md",""
"Глава 10. Итоговая лабораторная: загрузить и сохранить матч","81","Обязательный путь","Часть 6","Глава","Да","Не начато","course/part-06-http-api/10-final-http-lab.md",""
"Часть 7. SQL и PostgreSQL","82","Обязательный путь","Часть 7","Оглавление части","Да","Не начато","course/part-07-postgresql/README.md",""
"Глава 1. Реляционная модель: таблица, строка и отношение","83","Обязательный путь","Часть 7","Глава","Да","Не начато","course/part-07-postgresql/01-relational-model.md",""
"Глава 2. Локальный PostgreSQL и `psql`","84","Обязательный путь","Часть 7","Глава","Да","Не начато","course/part-07-postgresql/02-local-postgres-and-psql.md",""
"Глава 3. Типы, UTC, `NULL` и создание таблиц","85","Обязательный путь","Часть 7","Глава","Да","Не начато","course/part-07-postgresql/03-types-null-and-create-table.md",""
"Глава 4. Primary key, foreign key и ограничения","86","Обязательный путь","Часть 7","Глава","Да","Не начато","course/part-07-postgresql/04-keys-constraints-relations.md",""
"Глава 5. `INSERT`, `SELECT`, `UPDATE`, `DELETE`","87","Обязательный путь","Часть 7","Глава","Да","Не начато","course/part-07-postgresql/05-crud-and-filtering.md",""
"Глава 6. `JOIN`, `GROUP BY` и агрегаты","88","Обязательный путь","Часть 7","Глава","Да","Не начато","course/part-07-postgresql/06-joins-and-aggregates.md",""
"Глава 7. Индексы и `EXPLAIN`","89","Обязательный путь","Часть 7","Глава","Да","Не начато","course/part-07-postgresql/07-indexes-and-explain.md",""
"Глава 8. Транзакции, concurrency и upsert","90","Обязательный путь","Часть 7","Глава","Да","Не начато","course/part-07-postgresql/08-transactions-and-upsert.md",""
"Глава 9. Миграции и Drizzle","91","Обязательный путь","Часть 7","Глава","Да","Не начато","course/part-07-postgresql/09-migrations-and-drizzle.md",""
"Глава 10. Итоговая лабораторная: база матча","92","Обязательный путь","Часть 7","Глава","Да","Не начато","course/part-07-postgresql/10-final-database-lab.md",""
"Часть 8. Backend на Node.js, NestJS и Fastify","93","Обязательный путь","Часть 8","Оглавление части","Да","Не начато","course/part-08-nestjs-backend/README.md",""
"Глава 1. Серверный процесс и lifecycle запроса","94","Обязательный путь","Часть 8","Глава","Да","Не начато","course/part-08-nestjs-backend/01-server-and-request-lifecycle.md",""
"Глава 2. Создание NestJS-приложения с Fastify","95","Обязательный путь","Часть 8","Глава","Да","Не начато","course/part-08-nestjs-backend/02-nestjs-fastify-bootstrap.md",""
"Глава 3. Module, controller, service и dependency injection","96","Обязательный путь","Часть 8","Глава","Да","Не начато","course/part-08-nestjs-backend/03-modules-controllers-services-di.md",""
"Глава 4. DTO, validation и serialization","97","Обязательный путь","Часть 8","Глава","Да","Не начато","course/part-08-nestjs-backend/04-dto-validation-serialization.md",""
"Глава 5. Единый контракт ошибок","98","Обязательный путь","Часть 8","Глава","Да","Не начато","course/part-08-nestjs-backend/05-error-contract.md",""
"Глава 6. REST versioning, filters и cursor pagination","99","Обязательный путь","Часть 8","Глава","Да","Не начато","course/part-08-nestjs-backend/06-rest-versioning-pagination.md",""
"Глава 7. Repository и PostgreSQL","100","Обязательный путь","Часть 8","Глава","Да","Не начато","course/part-08-nestjs-backend/07-repository-and-database.md",""
"Глава 8. OpenAPI и проверяемый контракт","101","Обязательный путь","Часть 8","Глава","Да","Не начато","course/part-08-nestjs-backend/08-openapi-contract.md",""
"Глава 9. Config, logs, health и тесты","102","Обязательный путь","Часть 8","Глава","Да","Не начато","course/part-08-nestjs-backend/09-operations-and-testing.md",""
"Глава 10. Итоговая лабораторная: API матчей","103","Обязательный путь","Часть 8","Глава","Да","Не начато","course/part-08-nestjs-backend/10-final-backend-lab.md",""
"Часть 9. Сбор и нормализация данных Dota 2","104","Обязательный путь","Часть 9","Оглавление части","Да","Не начато","course/part-09-data-ingestion/README.md",""
"Глава 1. Архитектура ingestion pipeline","105","Обязательный путь","Часть 9","Глава","Да","Не начато","course/part-09-data-ingestion/01-ingestion-architecture.md",""
"Глава 2. Provider adapter и canonical model","106","Обязательный путь","Часть 9","Глава","Да","Не начато","course/part-09-data-ingestion/02-provider-adapter-canonical-model.md",""
"Глава 3. Raw archive, provenance и versioning","107","Обязательный путь","Часть 9","Глава","Да","Не начато","course/part-09-data-ingestion/03-raw-archive-and-provenance.md",""
"Глава 4. State machine ресурса","108","Обязательный путь","Часть 9","Глава","Да","Не начато","course/part-09-data-ingestion/04-ingestion-state-machine.md",""
"Глава 5. Idempotency, merge policy и транзакция","109","Обязательный путь","Часть 9","Глава","Да","Не начато","course/part-09-data-ingestion/05-idempotency-and-merge-policy.md",""
"Глава 6. Redis, BullMQ, queues и workers","110","Обязательный путь","Часть 9","Глава","Да","Не начато","course/part-09-data-ingestion/06-redis-bullmq-workers.md",""
"Глава 7. Retry, backoff, quota и dead-letter policy","111","Обязательный путь","Часть 9","Глава","Да","Не начато","course/part-09-data-ingestion/07-retry-quota-and-failures.md",""
"Глава 8. Discovery, schedules, backfill и reconciliation","112","Обязательный путь","Часть 9","Глава","Да","Не начато","course/part-09-data-ingestion/08-discovery-backfill-reconciliation.md",""
"Глава 9. Качество данных и наблюдаемость","113","Обязательный путь","Часть 9","Глава","Да","Не начато","course/part-09-data-ingestion/09-data-quality-observability.md",""
"Глава 10. Итоговая лабораторная: worker матча","114","Обязательный путь","Часть 9","Глава","Да","Не начато","course/part-09-data-ingestion/10-final-ingestion-lab.md",""
"Часть 10. Аналитика меты Dota 2","115","Обязательный путь","Часть 10","Оглавление части","Да","Не начато","course/part-10-analytics/README.md",""
"Глава 1. Metric contract, grain и population","116","Обязательный путь","Часть 10","Глава","Да","Не начато","course/part-10-analytics/01-metric-contract-and-grain.md",""
"Глава 2. Pick, ban, contest и win rate","117","Обязательный путь","Часть 10","Глава","Да","Не начато","course/part-10-analytics/02-core-hero-metrics.md",""
"Глава 3. Patch, окно времени и фильтры","118","Обязательный путь","Часть 10","Глава","Да","Не начато","course/part-10-analytics/03-patch-windows-and-filters.md",""
"Глава 4. Sample size, Wilson interval и shrinkage","119","Обязательный путь","Часть 10","Глава","Да","Не начато","course/part-10-analytics/04-sample-size-and-intervals.md",""
"Глава 5. Корректные SQL-агрегации","120","Обязательный путь","Часть 10","Глава","Да","Не начато","course/part-10-analytics/05-sql-aggregations.md",""
"Глава 6. Materialized views и refresh","121","Обязательный путь","Часть 10","Глава","Да","Не начато","course/part-10-analytics/06-materialized-views.md",""
"Глава 7. REST endpoint меты","122","Обязательный путь","Часть 10","Глава","Да","Не начато","course/part-10-analytics/07-meta-api-endpoint.md",""
"Глава 8. Cache, freshness и metric version","123","Обязательный путь","Часть 10","Глава","Да","Не начато","course/part-10-analytics/08-cache-freshness-versioning.md",""
"Глава 9. Тестирование аналитики и data quality","124","Обязательный путь","Часть 10","Глава","Да","Не начато","course/part-10-analytics/09-analytics-testing.md",""
"Глава 10. Итоговая лабораторная: `/v1/meta/heroes`","125","Обязательный путь","Часть 10","Глава","Да","Не начато","course/part-10-analytics/10-final-analytics-lab.md",""
"Часть 11. Основы React и web-песочница","126","Обязательный путь","Часть 11","Оглавление части","Да","Не начато","course/part-11-react/README.md",""
"Глава 1. Интерфейс как дерево компонентов","127","Обязательный путь","Часть 11","Глава","Да","Не начато","course/part-11-react/01-ui-as-component-tree.md",""
"Глава 2. Проект React + TypeScript через Vite","128","Обязательный путь","Часть 11","Глава","Да","Не начато","course/part-11-react/02-vite-react-project.md",""
"Глава 3. JSX, компоненты и props","129","Обязательный путь","Часть 11","Глава","Да","Не начато","course/part-11-react/03-jsx-components-props.md",""
"Глава 4. Условия, списки и стабильные keys","130","Обязательный путь","Часть 11","Глава","Да","Не начато","course/part-11-react/04-conditions-lists-keys.md",""
"Глава 5. События, state и render snapshot","131","Обязательный путь","Часть 11","Глава","Да","Не начато","course/part-11-react/05-events-state-render.md",""
"Глава 6. Формы, структура state и lifting state up","132","Обязательный путь","Часть 11","Глава","Да","Не начато","course/part-11-react/06-forms-and-state-design.md",""
"Глава 7. `useEffect`, внешние системы и cleanup","133","Обязательный путь","Часть 11","Глава","Да","Не начато","course/part-11-react/07-effects-and-cleanup.md",""
"Глава 8. Загрузка API и custom hooks","134","Обязательный путь","Часть 11","Глава","Да","Не начато","course/part-11-react/08-api-and-custom-hooks.md",""
"Глава 9. Доступность, тестирование и отладка","135","Обязательный путь","Часть 11","Глава","Да","Не начато","course/part-11-react/09-accessibility-and-testing.md",""
"Глава 10. Итоговая лабораторная: web-список матчей","136","Обязательный путь","Часть 11","Глава","Да","Не начато","course/part-11-react/10-final-react-lab.md",""
"Часть 12. React Native и Expo","137","Обязательный путь","Часть 12","Оглавление части","Да","Не начато","course/part-12-react-native-expo/README.md",""
"Глава 1. React Native, native UI и роль Expo","138","Обязательный путь","Часть 12","Глава","Да","Не начато","course/part-12-react-native-expo/01-react-native-and-expo.md",""
"Глава 2. Создание и запуск Expo-проекта","139","Обязательный путь","Часть 12","Глава","Да","Не начато","course/part-12-react-native-expo/02-create-and-run-expo-project.md",""
"Глава 3. Core components, StyleSheet, Flexbox и safe area","140","Обязательный путь","Часть 12","Глава","Да","Не начато","course/part-12-react-native-expo/03-components-styles-layout.md",""
"Глава 4. Expo Router: Stack, Tabs, параметры и links","141","Обязательный путь","Часть 12","Глава","Да","Не начато","course/part-12-react-native-expo/04-expo-router-navigation.md",""
"Глава 5. `FlatList`, refresh и производительность списков","142","Обязательный путь","Часть 12","Глава","Да","Не начато","course/part-12-react-native-expo/05-flatlist-and-performance.md",""
"Глава 6. TanStack Query: server state, focus и сеть","143","Обязательный путь","Часть 12","Глава","Да","Не начато","course/part-12-react-native-expo/06-tanstack-query.md",""
"Глава 7. Zustand и границы client state","144","Обязательный путь","Часть 12","Глава","Да","Не начато","course/part-12-react-native-expo/07-zustand-client-state.md",""
"Глава 8. SecureStore, persistence и offline","145","Обязательный путь","Часть 12","Глава","Да","Не начато","course/part-12-react-native-expo/08-storage-and-offline.md",""
"Глава 9. Графики, доступность и тестирование устройств","146","Обязательный путь","Часть 12","Глава","Да","Не начато","course/part-12-react-native-expo/09-charts-accessibility-testing.md",""
"Глава 10. Итоговая лабораторная: мобильная оболочка","147","Обязательный путь","Часть 12","Глава","Да","Не начато","course/part-12-react-native-expo/10-final-mobile-lab.md",""
"Часть 13. Соединяем мобильное приложение с backend","148","Обязательный путь","Часть 13","Оглавление части","Да","Не начато","course/part-13-mobile-backend/README.md",""
"Глава 1. Контракт между mobile и backend","149","Обязательный путь","Часть 13","Глава","Да","Не начато","course/part-13-mobile-backend/01-contract-boundary.md",""
"Глава 2. Окружения и доступ к локальному API","150","Обязательный путь","Часть 13","Глава","Да","Не начато","course/part-13-mobile-backend/02-environments-and-networking.md",""
"Глава 3. Генерация OpenAPI-клиента","151","Обязательный путь","Часть 13","Глава","Да","Не начато","course/part-13-mobile-backend/03-openapi-generated-client.md",""
"Глава 4. HTTP-транспорт и модель ошибок","152","Обязательный путь","Часть 13","Глава","Да","Не начато","course/part-13-mobile-backend/04-http-transport-and-errors.md",""
"Глава 5. Query keys и кэш","153","Обязательный путь","Часть 13","Глава","Да","Не начато","course/part-13-mobile-backend/05-query-keys-and-cache.md",""
"Глава 6. Пагинация и фильтры","154","Обязательный путь","Часть 13","Глава","Да","Не начато","course/part-13-mobile-backend/06-pagination-and-filters.md",""
"Глава 7. Мутации и инвалидация","155","Обязательный путь","Часть 13","Глава","Да","Не начато","course/part-13-mobile-backend/07-mutations-invalidation-optimistic.md",""
"Глава 8. Reconnect, offline и error UX","156","Обязательный путь","Часть 13","Глава","Да","Не начато","course/part-13-mobile-backend/08-reconnect-offline-error-ux.md",""
"Глава 9. Контрактные тесты и наблюдаемость","157","Обязательный путь","Часть 13","Глава","Да","Не начато","course/part-13-mobile-backend/09-contract-testing-observability.md",""
"Глава 10. Итоговая лабораторная: mobile работает на собственном API","158","Обязательный путь","Часть 13","Глава","Да","Не начато","course/part-13-mobile-backend/10-final-mobile-backend-lab.md",""
"Часть 14. Пользователи, Steam, watchlist и уведомления","159","Обязательный путь","Часть 14","Оглавление части","Да","Не начато","course/part-14-auth-steam-notifications/README.md",""
"Глава 1. Guest-first и модель пользователя","160","Обязательный путь","Часть 14","Глава","Да","Не начато","course/part-14-auth-steam-notifications/01-guest-and-identity-model.md",""
"Глава 2. Серверный Steam OpenID flow","161","Обязательный путь","Часть 14","Глава","Да","Не начато","course/part-14-auth-steam-notifications/02-steam-openid-flow.md",""
"Глава 3. Сессии и rotation токенов","162","Обязательный путь","Часть 14","Глава","Да","Не начато","course/part-14-auth-steam-notifications/03-sessions-and-token-rotation.md",""
"Глава 4. Авторизация в mobile и SecureStore","163","Обязательный путь","Часть 14","Глава","Да","Не начато","course/part-14-auth-steam-notifications/04-mobile-auth-and-securestore.md",""
"Глава 5. Steam linking и приватность","164","Обязательный путь","Часть 14","Глава","Да","Не начато","course/part-14-auth-steam-notifications/05-steam-linking-and-privacy.md",""
"Глава 6. Watchlist и синхронизация","165","Обязательный путь","Часть 14","Глава","Да","Не начато","course/part-14-auth-steam-notifications/06-watchlist-and-sync.md",""
"Глава 7. Регистрация push-устройства","166","Обязательный путь","Часть 14","Глава","Да","Не начато","course/part-14-auth-steam-notifications/07-push-device-registration.md",""
"Глава 8. Pipeline отправки уведомлений","167","Обязательный путь","Часть 14","Глава","Да","Не начато","course/part-14-auth-steam-notifications/08-notification-pipeline.md",""
"Глава 9. Deep links, выход, удаление и безопасность","168","Обязательный путь","Часть 14","Глава","Да","Не начато","course/part-14-auth-steam-notifications/09-deep-links-logout-deletion-security.md",""
"Глава 10. Итоговая лабораторная: Steam → watchlist → push","169","Обязательный путь","Часть 14","Глава","Да","Не начато","course/part-14-auth-steam-notifications/10-final-auth-notifications-lab.md",""
"Часть 15. Тестирование и безопасность","170","Обязательный путь","Часть 15","Оглавление части","Да","Не начато","course/part-15-testing-security/README.md",""
"Глава 1. Стратегия тестирования и критические пути","171","Обязательный путь","Часть 15","Глава","Да","Не начато","course/part-15-testing-security/01-testing-strategy-pyramid.md",""
"Глава 2. Unit-тесты с Vitest","172","Обязательный путь","Часть 15","Глава","Да","Не начато","course/part-15-testing-security/02-vitest-unit-tests.md",""
"Глава 3. Integration-тесты с Testcontainers","173","Обязательный путь","Часть 15","Глава","Да","Не начато","course/part-15-testing-security/03-integration-testcontainers.md",""
"Глава 4. Contract fixtures и совместимость API","174","Обязательный путь","Часть 15","Глава","Да","Не начато","course/part-15-testing-security/04-contract-fixtures-api.md",""
"Глава 5. Backend E2E и критический путь","175","Обязательный путь","Часть 15","Глава","Да","Не начато","course/part-15-testing-security/05-backend-e2e-critical-path.md",""
"Глава 6. React Native Testing Library","176","Обязательный путь","Часть 15","Глава","Да","Не начато","course/part-15-testing-security/06-mobile-rntl.md",""
"Глава 7. Device E2E с Maestro","177","Обязательный путь","Часть 15","Глава","Да","Не начато","course/part-15-testing-security/07-maestro-device-e2e.md",""
"Глава 8. Security controls: ввод, SQL, rate limits и секреты","178","Обязательный путь","Часть 15","Глава","Да","Не начато","course/part-15-testing-security/08-security-controls.md",""
"Глава 9. Backup/restore и dependency security","179","Обязательный путь","Часть 15","Глава","Да","Не начато","course/part-15-testing-security/09-backup-dependencies-security-ci.md",""
"Глава 10. Итоговая лабораторная качества и безопасности","180","Обязательный путь","Часть 15","Глава","Да","Не начато","course/part-15-testing-security/10-final-quality-security-lab.md",""
"Часть 16. Docker, CI/CD и production","181","Обязательный путь","Часть 16","Оглавление части","Да","Не начато","course/part-16-docker-cicd-production/README.md",""
"Глава 1. Images, containers и production process","182","Обязательный путь","Часть 16","Глава","Да","Не начато","course/part-16-docker-cicd-production/01-containers-images.md",""
"Глава 2. Multi-stage Dockerfile для Node.js monorepo","183","Обязательный путь","Часть 16","Глава","Да","Не начато","course/part-16-docker-cicd-production/02-api-dockerfile.md",""
"Глава 3. Локальный Docker Compose stack","184","Обязательный путь","Часть 16","Глава","Да","Не начато","course/part-16-docker-cicd-production/03-compose-local-stack.md",""
"Глава 4. Development, staging, production и managed services","185","Обязательный путь","Часть 16","Глава","Да","Не начато","course/part-16-docker-cicd-production/04-environments-managed-services.md",""
"Глава 5. Object storage и защита данных","186","Обязательный путь","Часть 16","Глава","Да","Не начато","course/part-16-docker-cicd-production/05-object-storage-data-protection.md",""
